"Competition Name","Season","Match Date","Home Team","Away Team","    ","Score Home","Score Away","    ","Score Home HT","Score Away HT","    ","Odds Home", "Odds Away"
"Top 14","2013/14","22.02.2014 11:30","Grenoble FC","Biarritz","","20","22","","10","6","","0.0909090909091","6.5"
"Top 14","2013/14","22.02.2014 11:30","Stade Francais","Union Sportive Oyonnax","","29","26","","21","19","","0.125","5.0"
"Top 14","2013/14","22.02.2014 11:30","Usap Perpignan","Brive","","12","6","","3","6","","0.4","2.0"
"Top 14","2013/14","22.02.2014 07:30","Clermont","Montpellier Herault RC","","42","16","","25","6","","0.2","3.5"
"Top 14","2013/14","15.02.2014 13:35","Brive","Stade Francais","","28","12","","6","6","","0.363636363636","2.2"
"Top 14","2013/14","15.02.2014 11:30","Biarritz","Stade Toulousain","","6","16","","6","13","","2.0","0.4"
"Top 14","2013/14","15.02.2014 11:30","Montpellier Herault RC","Usap Perpignan","","50","19","","33","16","","0.111111111111","5.5"
"Top 14","2013/14","15.02.2014 11:30","Racing 92","Bayonne","","18","8","","9","0","","0.111111111111","5.5"
"Top 14","2013/14","15.02.2014 07:55","Toulon","Castres Olympique","","19","13","","9","0","","0.111111111111","5.5"
"Top 14","2013/14","14.02.2014 13:45","Grenoble FC","Clermont","","16","13","","9","10","","0.8","1.0"
"Top 14","2013/14","08.02.2014 13:35","Stade Toulousain","Montpellier Herault RC","","12","15","","6","3","","0.166666666667","4.0"
"Top 14","2013/14","08.02.2014 11:30","Bayonne","Brive","","9","6","","3","3","","0.2","3.5"
"Top 14","2013/14","08.02.2014 11:30","Castres Olympique","Union Sportive Oyonnax","","17","16","","11","10","","0.0","9.0"
"Top 14","2013/14","08.02.2014 11:30","Toulon","Biarritz","","33","20","","10","14","","None","18.0"
"Top 14","2013/14","08.02.2014 11:30","Usap Perpignan","Racing 92","","19","19","","11","9","","0.5","1.625"
"Top 14","2013/14","08.02.2014 07:30","Clermont","Stade Francais","","25","13","","12","6","","0.0909090909091","7.5"
"Top 14","2013/14","07.02.2014 13:45","Bordeaux Begles","Grenoble FC","","38","17","","17","3","","0.333333333333","2.4"
"Top 14","2013/14","25.01.2014 13:35","Brive","Toulon","","23","10","","20","3","","1.1","0.714285714286"
"Top 14","2013/14","25.01.2014 11:30","Bayonne","Clermont","","18","9","","9","6","","0.571428571429","1.375"
